iter	RMSE
229	0.6554560941
230	0.6547069476
231	0.653364481
232	0.653082704
233	0.6528567859
234	0.6515403988
235	0.6497167456
236	0.648826996
237	0.6483802459
238	0.6470395175
239	0.6463905303
240	0.6450251471
241	0.6447034981
242	0.6428012882
243	0.6399990789
244	0.6367982104
245	0.6360721893
246	0.6356794977
247	0.634149764
248	0.6322365555
249	0.6311840048
250	0.6279209391
251	0.6275329642
252	0.6274181773
253	0.6250454927
254	0.6228604168
255	0.6212606109
256	0.6209852292
257	0.6194340955
258	0.6190015812
259	0.6187235487
260	0.617918123
261	0.6167398562
262	0.6164828404
263	0.6162502758
264	0.615482127
265	0.6139444506
266	0.6127007648
267	0.6116286022
268	0.6104746326
269	0.6099460864
270	0.6089339112
271	0.6083812176
272	0.6081072367
273	0.6077352186
274	0.6075043243
275	0.607048937
276	0.6053462328
277	0.6046186181
278	0.6030896605
279	0.602820985
280	0.6027190488
281	0.6002605742
282	0.5987843513
283	0.5978270547
284	0.5970705725
285	0.5962245561
286	0.5955937028
287	0.5938218269
288	0.5934118638
289	0.59303707
290	0.5928144176
291	0.5905768952
292	0.5903560272
293	0.5895005541
294	0.5892541531
295	0.5874666039
296	0.5870868268
297	0.5868239457
298	0.5865629297
299	0.5843141793
300	0.5830060509
301	0.5820876715
302	0.5803462045
303	0.5800015672
304	0.5788874629
305	0.5778577771
306	0.57765583
307	0.575759252
308	0.5740218883
309	0.5719383931
310	0.5714328019
311	0.5692469692
312	0.5688691957
313	0.5661619829
314	0.5656555722
315	0.5654235456
316	0.5638160057
317	0.562691225
318	0.5624290242
319	0.5615505441
320	0.5602347665
321	0.5591510438
322	0.5581639293
323	0.5572500614
324	0.5565358113
325	0.5557224862
326	0.5541078637
327	0.5538867691
328	0.5532334766
329	0.5531129675
330	0.5515688063
331	0.5506181981
332	0.5503751763
333	0.5501706901
334	0.5500038299
335	0.5497340135
336	0.5495723999
337	0.5493954596
338	0.548364449
339	0.5474724886
340	0.5469869036
341	0.5468685585
342	0.5462075188
343	0.5455323608
344	0.5447216358
345	0.5442651808
346	0.5424347547
347	0.541515846
348	0.5411045854
349	0.5396849771
350	0.5387102318
351	0.5381249673
352	0.5375893252
353	0.5364509983
354	0.5359689877
355	0.5353706367
356	0.5334079918
357	0.5330633266
358	0.5322246212
359	0.5317887501
360	0.5306210271
361	0.5305198006
362	0.5304378609
363	0.5297136918
364	0.5286304302
365	0.5284906205
366	0.528300009
367	0.5278434116
368	0.5269848229
369	0.5262884069
370	0.5260916801
371	0.5254200705
372	0.5251992264
373	0.5232363381
374	0.5230590889
375	0.5227482587
376	0.5214263498
377	0.5197207346
378	0.5195917351
379	0.5188489728
380	0.5187436495
381	0.5180841823
382	0.5166618048
383	0.5163408384
384	0.5143533264
385	0.5123168845
386	0.5110473698
387	0.510512699
388	0.5095573215
389	0.5086995429
390	0.5083093429
391	0.5081644767
392	0.5079797167
393	0.506832009
394	0.5057028941
395	0.5048834449
396	0.5044660691
397	0.5043931558
398	0.5035407386
399	0.502890599
