population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2263.40041928535,2643.75349367184,1902.93633436879
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,3228.28472819418,3670.2145209056202,2768.2104932072903
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,535.73126752231,681.16738564036,418.05141184269996
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,4498.92689140144,5505.42267970019,3841.2150799580295
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,431.3461534357,580.16127743503,339.43664433916
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,832.6453385685301,1793.04741158104,369.6592615926
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,1774.42749065556,2437.42141333077,1289.57091425427
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,613.10329511312,785.68278612243,452.75789689408
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,612.24773537093,777.05458955573,482.27104507545
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,4276.95561315077,5503.834499506071,3478.9909571552203
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,175.40960631522998,234.73641622693003,135.20175383238
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,518.55609524134,1124.86275289156,233.10919750989
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,539.14869157476,762.52901309422,365.71492986899
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,509.375896929,639.79462402291,379.87697090184
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,294,All causes,3,Rate,1994,96450.42108394403,97311.98715509727,95591.51428870292
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2373.8682572266,2822.46490329224,1950.18496446145
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,504.73459656766005,635.3176688155199,396.31566644942995
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,3959.84065946812,5030.31427266785,3253.4875661067804
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,204.62713974179,272.52319323948996,156.78741386918998
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,294,All causes,3,Rate,1994,96032.4727418881,96528.9939619579,95583.40175222755
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,533.97356041483,1160.0189730182399,239.62712052578001
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,550.33607830806,777.54571083001,372.93090128314003
1,All Population,5,Prevalence,54,Slovakia,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,526.57269777998,663.98480655606,391.18759916823
1,All Population,5,Prevalence,87,Luxembourg,3,Both,22,All ages,294,All causes,3,Rate,1994,94740.93396459916,95566.1605317466,94068.59595827563
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,1082.60617292749,1252.62726714944,908.48970935853
1,All Population,5,Prevalence,47,Czechia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1996,723.01175119842,836.92529479258,609.55004478064
1,All Population,5,Prevalence,47,Czechia,3,Both,22,All ages,559,Schizophrenia,3,Rate,1996,351.9995559007,433.92810483292004,279.1789923068
1,All Population,5,Prevalence,47,Czechia,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1996,2192.24270451266,2553.35826595324,1856.50723266554
1,All Population,5,Prevalence,47,Czechia,3,Both,22,All ages,561,Drug use disorders,3,Rate,1996,1079.48927382449,1279.59025910363,887.3088820940799
1,All Population,5,Prevalence,47,Czechia,3,Both,22,All ages,567,Depressive disorders,3,Rate,1996,3180.6182178078298,3890.00616141129,2526.10174513467
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,294,All causes,3,Rate,1994,95124.21740529072,96126.70375064484,94418.04003983132
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,651.6814106053,759.12808763289,561.08546765955
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,4881.22142079791,5611.67193107517,4271.7545913242
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,433.37368597847006,572.01276974719,337.98899596122
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,617.16813715544,1360.6497821503701,258.60690266453
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,846.7363020645199,1155.08346143469,592.98505997011
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,415.59282272575996,519.9235455724499,312.19070070892
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,917.4959610094701,1025.45616818944,808.99183100818
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2391.02978448456,2807.7183260915804,2035.7043240058101
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,718.0372394295,896.06098529046,573.4267217024
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,3984.5652598576803,4887.79663882799,3411.3636055816096
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,466.29486668325995,610.46658198471,364.191894287
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,333.4263979428,408.0556364251,265.52133093687
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2992.1481039373402,3520.8467542656,2486.91959109471
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,713.7889913246,1472.71566316167,320.75551397396
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,1200.1524549169199,1704.05681338124,835.48689178986
1,All Population,5,Prevalence,75,Austria,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,392.13307414645993,500.99207642566,293.39718883286
1,All Population,5,Prevalence,79,Finland,3,Both,22,All ages,559,Schizophrenia,3,Rate,1995,434.21353699715,520.02314995103,353.60174921721
1,All Population,5,Prevalence,79,Finland,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1995,2544.98441633444,2840.76544784122,2298.3146429212698
1,All Population,5,Prevalence,79,Finland,3,Both,22,All ages,561,Drug use disorders,3,Rate,1995,859.78130107493,925.0199249290899,793.17574907098
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1995,761.71643958511,885.66452929018,622.92497854844
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,559,Schizophrenia,3,Rate,1995,343.28115206488,415.80024527204,272.35054061601
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1995,2061.56036087464,2410.47356902892,1793.8259161703302
1,All Population,5,Prevalence,45,Bulgaria,3,Both,22,All ages,561,Drug use disorders,3,Rate,1995,609.54973908959,695.13419372379,528.77864607274
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,1247.7937920068598,1421.54517319984,1061.7387145083699
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,310.28018905882,361.1044359365,266.37486298506997
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,1769.26141191551,2067.8302336827996,1478.05078568249
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,1266.50448143642,1561.32021161019,1050.78790947226
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,597.4563534722801,681.71835172126,512.52928732642
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,322.67523752497,398.02127684655994,255.35434388246998
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2729.64476793042,3075.66769888886,2457.3517576158397
1,All Population,5,Prevalence,86,Italy,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2400.65054425272,2699.99870528044,2082.37529210404
