Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Czechia,CZE,2022,2594.61283422286,1205.85287435786,5136.79509269082,410.95884390602,592.00867432741,552.35040285385,335.7819227916,3703.71760723199,835.9388433064601,373.65770222939,28282.2236715857,2.224,8.47063065,10672118.0,25.9,72.6967638379524,84.54009378,435.2000000000001,,Eastern Europe
Czechia,CZE,2023,2803.98253131519,1205.96033283251,5784.83363850582,416.13585671449,597.14772390957,551.05164894266,341.25394559762,3864.60976621058,865.1029313943801,370.17307282719,31761.5944102491,2.579,8.42677402,10864042.0,25.7,72.7352388396817,85.99404818,,,Eastern Europe
Denmark,DNK,2022,3143.46975846728,1122.39138385465,6832.965589287091,907.66776027003,796.42488185584,728.7082847153,377.17440148769,3727.31026308444,988.9007939768,302.85273970384003,67781.0940939514,4.434,9.47411346,5903037.0,29.3,88.3880239837703,97.86011812,,,Western Europe/Nordics
Denmark,DNK,2023,3123.1726507540698,1144.36087299335,7376.506091705801,903.51886715204,800.5103115950801,728.4386315372,373.68049292714,3921.13233336296,986.43695436698,301.76448872613,68043.5466971243,5.094,9.5572958,5946952.0,29.9,88.552638542867,98.77559197,,,Western Europe/Nordics
Estonia,EST,2022,2478.79449498743,1377.65473640496,3859.89067716931,419.0338205414,687.40261754176,559.6267662335,345.24240149007,3789.81817083724,1569.35680057914,291.383691503,28340.3826549406,5.571,6.93641424,1348840.0,32.3,70.4892333736738,91.52016546,346.9,,Baltics
Estonia,EST,2023,2595.65852032973,1371.70514772772,4320.71233204943,421.08701223038,692.94702595524,560.18365670234,350.23724010776,3843.84647342822,1547.58811595033,290.90531733119,30264.0064885057,6.378,7.47082138,1370286.0,30.7,70.6770085523126,93.18342241,,,Baltics
Finland,FIN,2022,2256.36192201643,1687.96954849783,4604.45485534252,1066.43971018057,779.45026716551,705.1273246207701,369.96640576636,3201.95369707501,1079.18358188073,449.21387144734,50440.560224974,6.719,9.74152565,5556106.0,27.9,73.6967597835949,92.98879471,,,Western Europe/Nordics
Finland,FIN,2023,2117.01437985194,1752.01597683829,5059.15197576318,1059.82589552632,781.0774513053,705.62988271581,367.50369685851,3248.28850976664,1076.40499040074,448.93060784395,52864.6931581216,7.149,10.47389507,5583911.0,27.4,74.0062548602828,93.51385075,,,Western Europe/Nordics
France,FRA,2022,2131.34841415483,1306.50219712268,8363.91089642774,1145.14429878734,774.77352309508,741.92376964111,425.83842002155,4325.4358549873405,872.7259822268101,336.25937208435,40988.6396406579,7.303,11.82888794,68184457.0,31.2,78.7591921123356,85.33331734,328.1,,Western Europe/Nordics
France,FRA,2023,2121.1001752718303,1278.8437610098,9404.41029356781,1152.68389769219,778.7439724652901,743.91972703364,425.30763868381,4431.95136578201,872.8512290017801,337.78959124609,44700.1384177544,7.335,11.51974583,68372286.0,31.8,78.7804323126547,86.83635789,,,Western Europe/Nordics
Germany,DEU,2022,2326.4610010577303,2518.56801981122,5215.5482701171295,249.85304745721,785.2979386839401,630.6199094584999,312.40150998823,4599.167334572389,807.68515468808,368.11523609912,50506.5179638543,3.137,12.44708347,83177813.0,33.7,81.7867852780995,91.62984383,453.4,,Western Europe/Nordics
