Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Austria,AUT,2021,2942.83422639103,1457.07505530482,6153.20044455864,1050.52586254424,771.24896173442,715.3390835001401,312.23661935562,3139.69636413238,809.23363266231,355.42182092292,53648.6437976214,6.459,12.185215,8955797.0,30.7,68.773601700253,92.52915104,543.2,14.5130731,Western Europe/Nordics
Belgium,BEL,2000,2756.83958618909,1358.34323292916,4638.368645257599,905.12457616743,705.75751810972,712.83579031685,400.33986741629,3356.07277957641,861.47358502617,335.45718936813,23098.8865077401,6.586,7.99917603,10251250.0,33.1,82.0152520403035,29.4316916924341,282.90000000000003,22.06644607,Western Europe/Nordics
Belgium,BEL,2001,2742.25087544915,1379.93066877176,4654.22091473656,901.85446061557,707.07123967369,711.2901087487501,400.06136240997,3363.00690264454,858.27377910345,336.13511619234,23015.0712632462,6.178,8.14988899,10286570.0,31.433333333333334,82.3356893921976,31.2883955056566,284.90000000000003,22.25492365,Western Europe/Nordics
Belgium,BEL,2002,2709.54034886152,1402.58293878699,4671.41543168331,898.6533292339701,708.53296071483,707.7569664374399,399.71457259066,3317.00555707428,856.86072774554,337.067605054,25006.191397109,6.91,8.3182106,10332785.0,29.76666666666667,82.6509663267055,46.33,285.9,20.96136753,Western Europe/Nordics
Belgium,BEL,2003,2670.9335560932,1417.31703692,4700.353224999651,895.5573525815099,710.5325868129601,703.61259251001,399.09774202184,3253.4402503014003,856.67191597546,338.06600412945,30655.2092679024,7.68,9.18925285,10376133.0,28.1,82.9609538786731,49.97,285.70000000000005,21.44370719,Western Europe/Nordics
Belgium,BEL,2004,2638.91578424052,1413.73639724285,4739.907256085709,892.5228075978,713.15774782392,700.3849016329899,398.00868800233,3403.2881523512297,857.7035168455699,339.02397112948,35429.4077933344,7.363,9.35496902,10421137.0,30.5,83.2655230829461,53.86,286.8,20.31948227,Western Europe/Nordics
Belgium,BEL,2005,2623.8272432715903,1440.59777385558,4778.09195058695,888.3371503918901,715.09928499848,698.8926102364401,395.83456018894,3426.64152503924,858.41075278423,339.34372555821,36809.7013403619,8.44,9.25018311,10478617.0,29.3,83.5645449743707,55.81999969,287.1,20.66397033,Western Europe/Nordics
Belgium,BEL,2006,2624.527949247,1449.1221816118,4784.10639404019,884.49320946521,717.41522240749,699.16425436179,393.43978652271,3354.85140010571,858.9887999148499,339.3875526654,38705.1067959147,8.246,9.1325655,10547958.0,28.1,83.8578905877926,61.9818700222023,288.6,20.28559119,Western Europe/Nordics
Belgium,BEL,2007,2627.19351554202,1457.54252062932,4798.31049050148,879.85615072067,719.72576326716,699.2791001624299,390.25485469862,3452.44420677565,858.16495973026,339.09273433043,44319.165448813,7.459,9.1392889,10625700.0,29.2,84.1454309580577,66.7604202433135,290.5,18.73564529,Western Europe/Nordics
Belgium,BEL,2008,2629.94173060224,1462.21638580994,4810.24754348493,875.27041080393,722.1464689040399,699.15780208262,387.07463839628,3402.11916362456,856.84763493892,338.59352962,48303.397956286,6.976,9.60036659,10709973.0,28.4,84.427037120012,68.8573221425131,292.1,20.23713651,Western Europe/Nordics
Belgium,BEL,2009,2632.04907885153,1461.55591854364,4813.16483453126,871.3310530272199,724.8010294811401,698.8184274405601,384.11551938108,3347.9921838272503,855.96385232302,338.10580097045,44923.3400135081,7.908,10.54393387,10796493.0,28.6,84.7025801085014,74.5441455527336,292.0,20.56383708,Western Europe/Nordics
Belgium,BEL,2010,2632.14559481321,1477.93579144027,4848.28310202424,867.85723353114,727.1716400923,698.150224773,381.58777928035,3361.05811302607,856.42849415438,337.71380588767,44197.393671162,8.293,10.41325188,10895586.0,28.4,84.9719309583717,77.6397855126946,290.9,20.52934852,Western Europe/Nordics
Belgium,BEL,2011,2631.6825805702,1491.2709225372398,4915.12035962575,865.26937627879,729.73821829134,697.69522716304,379.36069673495,3375.6602545002697,861.70593274716,337.6599816551,47760.8298776546,7.14,10.41302204,11038264.0,28.1,85.2349607044689,81.6099959955952,291.5,21.21335047,Western Europe/Nordics
Belgium,BEL,2012,2628.6078940040097,1518.89276677701,5006.41057334464,862.34820112007,732.05297181169,697.13046243294,376.74977115119,3537.7868266332803,870.4636033968901,337.58307168325,44874.1709182123,7.542,10.5865345,11106932.0,27.5,85.4915403816388,80.7199905482042,293.29999999999995,20.89961095,Western Europe/Nordics
Belgium,BEL,2013,2623.98231159888,1531.04017557482,5059.27149876912,860.21690936248,734.73375093833,696.73818419982,374.62716265445,3405.80257779386,880.3727509234,337.6431139036,46964.5946777056,8.425,10.63787556,11159407.0,27.7,85.7415410247275,82.1702,313.1,19.61948659,Western Europe/Nordics
Belgium,BEL,2014,2616.6743663021,1540.87972266424,5124.02383708478,858.9725812547201,737.4334143966299,696.24774226863,373.94578874219,3664.30750907381,887.67710898846,337.66281465907,47995.7786961339,8.523,10.62032604,11209057.0,28.1,85.9848336685807,85.0012379539925,316.0,19.41665713,Western Europe/Nordics
Belgium,BEL,2015,2606.60873664371,1576.21767533653,5219.05603049907,857.42816452366,739.41212571472,695.42620530221,374.21765080121,3513.6651797089503,889.0456776717201,337.41085611905004,40893.804537772,8.482,10.88387299,11274196.0,27.7,86.2212893480444,85.0529417508701,322.1,18.60677675,Western Europe/Nordics
Belgium,BEL,2016,2591.0231425392503,1579.92983726043,5329.60379693858,857.2380016836,742.12964723299,695.29432048357,375.37569016277,3754.91794042808,886.0952379242001,337.56926432976,41854.5498296444,7.83,10.89833736,11331422.0,27.6,86.4507790979645,86.5164766644457,328.0,19.21829275,Western Europe/Nordics
Belgium,BEL,2017,2564.06821980303,1603.38493181016,5432.211377811251,856.46771714622,744.46449047667,694.90854463376,376.73135621429,3727.27094283355,878.56999044042,337.53931581165,44035.3239358548,7.09,10.94042683,11375158.0,27.4,86.6731739531869,87.6796808175598,329.2,18.4032336,Western Europe/Nordics
Belgium,BEL,2018,2534.78550434923,1624.11665328565,5505.40791020383,856.04954184869,746.86396635778,694.5872727364599,378.51321302138,3778.7208179509694,868.3970404837701,337.51704658026,47487.2100392561,5.941,10.9937973,11427054.0,27.2,86.8883449485575,88.6473429951691,335.5,18.57659312,Western Europe/Nordics
